stemming,target
['senang'],1
"['irawan', 'duit', 'kagak']",1
"['loba', 'teuing', 'ngurus', 'proyek']",1
"['mantap', 'naik', 'saja', 'nya', 'rakyat', 'sudah', 'kaya', 'raya', 'nggak', 'miskin', 'periode', 'agar', 'rakyat', 'senang']",1
"['subsidi', 'tidak', 'cabut', 'tapi', 'alih', 'dari', 'subsidi', 'barang', 'subsidi', 'masyarakat', 'dalam', 'bentuk', 'blt']",1
"['bbm', 'tidak', 'subsidi', 'pajak', 'kendara', 'sim', 'hapus', 'kendara', 'bebas', 'pajak']",1
"['lanjut', 'periode']",1
"['tidak', 'masuk', 'akal', 'negara', 'harga', 'negara', 'gerak', 'maju', 'untuk', 'korupsi']",1
"['apbn', 'habis', 'mindah', 'ibukota']",1
"['kecil', 'ribu', 'barang', 'langkah', 'orang', 'papua', 'keluh', 'katain', 'negeri', 'minyak', 'barang', 'baik', 'baik']",1
['periode'],1
"['perintah', 'salah', 'bbm', 'hutang', 'negara', 'makin', 'tingkat', 'bbm', 'tuju', 'ya', 'mudah', 'an', 'putus', 'ambil', 'perintah', 'indonesia', 'makin', 'maju']",1
"['tidak', 'apa', 'bbm', 'bantu', 'pemerinta']",1
"['hormat', 'bp', 'tri', 'jangan', 'awas', 'tapi', 'cctv', 'spbu', 'terima']",1
"['dana', 'pindah', 'kota', 'sudah', 'tipis', 'sih', 'ya', 'saja', 'bbm']",1
"['harap', 'tenang', 'partai', 'cilik']",1
"['mantap', 'habis', 'pbb', 'susul']",1
"['bbm', 'jenis', 'partalite', 'rupiah', 'rakyat', 'indonesia', 'sudah', 'demo', 'malaysia', 'harga', 'partalite', 'ringgit', 'tidak', 'demo', 'rnggit', 'rupiah']",1
"['median', 'harga', 'bbm', 'murah', 'usa', 'octane', 'gallon', 'rp', 'gallon', 'rp', 'liter', 'harga', 'pertalite', 'rp', 'liter', 'presiden', 'joko', 'widodo', 'dukung', 'putus', 'perintah', 'hubung', 'naik', 'harga', 'pertalite', 'solar', 'god', 'bless', 'nkri', 'forever']",1
"['beli', 'ngotel', 'ngosan', 'tidak', 'ribet', 'bikin', 'tidak']",1
"['bbm', 'tidak', 'bahan', 'bakar', 'tidak', 'mana']",1
"['tinggal', 'bangun', 'negeri', 'gotong', 'royong', 'kalau', 'harta', 'sumbang', 'bangun', 'negeri', 'anda', 'teriak', 'gimana', 'anda', 'hidup', 'zaman', 'perang', 'anda', 'tidak', 'korbanin', 'nyawa', 'harta', 'merdeka', 'indonesia', 'kaya', 'orang', 'kaya', 'gin', 'dulunya', 'demang', 'sama', 'kompeni', 'nggak', 'otak']",1
[],1
"['mantap', 'habis', 'pbb', 'susul']",1
"['naik', 'saya', 'tuju', 'tolong', 'suli', 'aplikasi', 'dyh', 'bikin', 'sulit', 'masarakat']",1
"['moga', 'allah', 'meridhoi', 'putus']",1
['senang'],1
"['beli', 'ngotel', 'ngosan', 'tidak', 'ribet', 'bikin', 'tidak']",1
"['bangun', 'kota']",1
"['indonesia', 'sejahtera', 'solusi', 'cma', 'sah', 'uu', 'hukum', 'mati', 'koruptor', 'tidak', 'banyak', 'tentang', 'korupsi', 'lama', 'uu', 'hukum', 'mati', 'tidak', 'sahkan']",1
[],1
"['turun', 'dari', 'atm']",1
"['subsidi', 'bbm', 'hapus', 'mobil', 'pribadi', 'kategori', 'pakai', 'bbm', 'subsidi', 'senang', 'subsidi', 'bbm', 'hapus', 'salah', 'kalang', 'motor', 'giat', 'hari', 'pakai', 'subsidi', 'bbm', 'hak', 'rampas', 'kalang', 'sembunyi', 'balik', 'rakyat', 'jadi', 'alas', 'salah', 'kalang', 'dukung', 'penuh', 'cabut', 'subsidi', 'bbm', 'mobil', 'pribadi', 'kategori', 'nikmat', 'subsidi', 'bbm']",1
"['subsidi', 'bbm', 'hapus', 'mobil', 'pribadi', 'kategori', 'pakai', 'bbm', 'subsidi', 'senang', 'subsidi', 'bbm', 'hapus', 'salah', 'kalang', 'motor', 'giat', 'hari', 'pakai', 'subsidi', 'bbm', 'hak', 'rampas', 'kalang', 'sembunyi', 'balik', 'rakyat', 'jadi', 'alas', 'salah', 'kalang', 'dukung', 'penuh', 'cabut', 'subsidi', 'bbm', 'mobil', 'pribadi', 'kategori', 'nikmat', 'subsidi', 'bbm']",1
"['mantap', 'cocok', 'periode']",1
"['bbm', 'sampai', 'harga', 'jangan', 'bikin', 'bingong', 'rakyat', 'kecil', 'aplikasi', 'tidak', 'terus', 'bbm', 'batas', 'kalok', 'baik', 'mudah', 'rakyat', 'cari', 'tidak', 'susahh']",1
"['salam', 'periode']",1
"['coba', 'bangun', 'pertamini', 'milik', 'bumn', 'nya', 'pelosok', 'negeri', 'agar', 'adil', 'sosial', 'capai', 'suruh', 'pertamini', 'jual', 'tamak', 'saja', 'pertalitenya', 'ngilang']",1
"['bapak', 'jokowi', 'naik', 'bbm', 'aja', 'ada', 'nang', 'bapak', 'naik', 'tidak', 'ada', 'nang']",1
"['saya', 'sbagai', 'rakyat', 'aja', 'minyak', 'tapi', 'perintah', 'suruh', 'usaha', 'naik', 'gaji', 'karyawannya']",1
"['bapak', 'jokowi', 'naik', 'bbm', 'aja', 'ada', 'nang', 'bapak', 'naik', 'tidak', 'ada', 'nang']",1
"['rakyat', 'ngomong', 'apa', 'mengko', 'ngomong', 'tangkap', 'ya', 'pasrah']",1
"['moga', 'harga', 'barang', 'butuh', 'roket']",1
"['buat', 'putus', 'adil', 'imbang', 'jangan', 'sampai', 'kaya', 'kaya', 'miskin', 'derita']",1
['lawak'],1
"['terima', 'tidak', 'teriak', 'pilih', 'selamat', 'nikmat', 'naik', 'bbm', 'salam', 'gigit', 'jari']",1
"['alas', 'golput', 'karena', 'mimpi', 'rakyat', 'ttap', 'jdi', 'korban', 'syukur', 'rakyat', 'tahan']",1
['nkri'],1
"['tanggung', 'dhe', 'ribu', 'ja', 'naik', 'sekali', 'harga', 'nya', 'tidak', 'macet', 'bikin', 'jalan']",1
"['bapak', 'dari', 'pade']",1
"['tuju', 'program', 'kembang', 'kasta', 'dalit']",1
"['terima', 'tidak', 'teriak', 'pilih', 'selamat', 'nikmat', 'naik', 'bbm', 'salam', 'gigit', 'jari']",1
"['bapak', 'jokowi', 'jdi', 'presiden', 'seumor', 'hidup', 'mantap']",1
"['mobil', 'tua', 'cc', 'mohon', 'timbang']",1
"['kalimantan', 'barat', 'harga', 'solar', 'daerah', 'liter', 'kios']",1
"['turun', 'dari', 'atm']",1
"['mobil', 'tua', 'cc', 'mohon', 'timbang']",1
"['bbm', 'mobil', 'angkut', 'ganti', 'tenaga', 'listrik', 'baterai', 'gerak', 'dinamo', 'motor', 'listrik', 'sepeda', 'motor']",1
"['rp', 'saja', 'murah', 'negeri', 'bbm', 'subsidi', 'karena', 'banyak', 'pakai', 'orang', 'kaya', 'orang', 'dangkal', 'saja', 'bilang', 'mahal']",1
"['mobil', 'tua', 'cc', 'mohon', 'timbang']",1
"['moga', 'harga', 'barang', 'butuh', 'roket']",1
"['ya', 'kalau', 'bbm', 'juga']",1
"['soroh', 'awak', 'bos', 'golek', 'gawe', 'pangan', 'kangela', 'gakisok', 'bayar', 'pajak', 'tidak', 'ngurus', 'bbm', 'dinaikno', 'sak', 'karebmu', 'nek', 'pancene', 'sulit', 'ngatuer']",1
[],1
"['tidak', 'berat', 'bbm', 'subsidi', 'alih', 'masyarakat', 'koruptor', 'milyar', 'hukum', 'mati']",1
"['perintah', 'salah', 'bbm', 'hutang', 'negara', 'makin', 'tingkat', 'bbm', 'tuju', 'ya', 'mudah', 'an', 'putus', 'ambil', 'perintah', 'indonesia', 'makin', 'maju']",1
[],1
"['lanjut', 'periode']",1
"['moga', 'allah', 'swt', 'tingkat', 'rezeki', 'barokah', 'ke', 'rakyat']",1
"['pimpin', 'iring', 'kembang', 'zaman', 'alami', 'naik', 'bbm', 'santai', 'beli', 'kendara', 'tidak', 'beli', 'bbm']",1
"['mahalin', 'saja', 'agar', 'bacah', 'bacah', 'motor', 'kurang']",1
['periode'],1
"['bbm', 'tidak', 'subsidi', 'pajak', 'kendara', 'sim', 'hapus', 'kendara', 'bebas', 'pajak']",1
"['bner', 'banget', 'tuju']",1
"['loba', 'teuing', 'ngurus', 'proyek']",1
"['bantu', 'blt', 'efektif', 'kalau', 'contoh', 'gaji', 'naikkn', 'kalilipat', 'benar', 'karyawan', 'gaji', 'juta', 'naikkn', 'ato', 'agar', 'bantu', 'ekonomi']",1
"['bbm', 'tidak', 'bahan', 'bakar', 'tidak', 'mana']",1
"['perintah', 'pajo', 'tai']",1
"['ayo', 'invansi', 'lo']",1
"['saja', 'pahala']",1
"['buzer', 'buzzer']",1
['cerdas'],1
"['ayo', 'invansi', 'lo']",1
"['tuju', 'program', 'kembang', 'kasta', 'dalit']",1
"['bangun', 'kota']",1
"['sudah', 'lagi', 'harga', 'minyak', 'dunia', 'juga', 'kalau', 'tahan', 'terus', 'jebol']",1
"['coba', 'bangun', 'pertamini', 'milik', 'bumn', 'nya', 'pelosok', 'negeri', 'agar', 'adil', 'sosial', 'capai', 'suruh', 'pertamini', 'jual', 'tamak', 'saja', 'pertalitenya', 'ngilang']",1
"['perintah', 'salah', 'bbm', 'hutang', 'negara', 'makin', 'tingkat', 'bbm', 'tuju', 'ya', 'mudah', 'an', 'putus', 'ambil', 'perintah', 'indonesia', 'makin', 'maju']",1
['simak'],1
"['loba', 'teuing', 'ngurus', 'proyek']",1
"['astaga', 'harga', 'bbm', 'kam', 'tahun', 'tara', 'harga', 'bbm', 'negeri', 'demo', 'kampung', 'nelayan', 'ke', 'liter', 'bang', 'marengek']",1
"['tanggung', 'dhe', 'ribu', 'ja', 'naik', 'sekali', 'harga', 'nya', 'tidak', 'macet', 'bikin', 'jalan']",1
"['naik', 'ump']",1
"['kalau', 'larang', 'jual', 'bbm', 'agar', 'rakyat']",1
"['momen', 'bijak', 'perintah', 'kontroversial', 'informasi', 'informasi', 'disebarluaskan', 'publik', 'media', 'kait', 'fokus', 'nyata', 'terap', 'bijak', 'padahal', 'jelas', 'perintah', 'terap', 'bijak', 'putus', 'bijak', 'terap', 'faktor', 'sebab', 'faktor', 'timbang', 'tunjuk', 'data', 'utama', 'mudah', 'paham', 'masyarakat', 'awam', 'timbang', 'timbang', 'pengaruh', 'putus', 'informasi', 'publikasi', 'sebar', 'fokus', 'terap', 'bijak', 'olah', 'lingkar', 'perintah', 'maslahat', 'masyarakat', 'lingkar', 'harap', 'sampai', 'alas', 'rinci', 'perintah', 'nampaknya', 'sampai', 'sampai', 'alas', 'rinci', 'paham', 'laku', 'bijak', 'bijak', 'kontroversial', 'perintah', 'periode', 'perintah', 'periode', 'periode', 'perintah', 'sampai', 'alas', 'masyarakat', 'benar', 'lengkap', 'lengkap', 'miskomunikasi', 'mis', 'persepsi', 'negative', 'thinking', 'masyarakat', 'diminimalisir', 'mana', 'integritas', 'masyarakat', 'perintah', 'saran', 'perintah', 'indonesia', 'periode', 'periode', 'periode', 'siar', 'broadcasting', 'masif', 'masif', 'alas', 'timbang', 'faktor', 'faktor', 'tentu', 'desak', 'dorong', 'terap', 'bijak', 'kontroversial', 'bijak', 'terap', 'kirim', 'pesan', 'aplikasi', 'duduk', 'streaming', 'youtube', 'rangka', 'pers', 'broadcast', 'brand', 'media', 'sosial', 'akun', 'akun', 'resmi', 'perintah', 'orang', 'indonesia', 'orang', 'negeri', 'perintah', 'perintah', 'indonesia', 'individu', 'individu', 'masyarakat', 'indonesia', 'masyarakat', 'orang', 'orang', 'lingkup', 'perintah', 'sampai', 'jelas', 'terap', 'bijak', 'jadi', 'komitmen', 'transparan', 'perintah', 'masyarakat', 'awam']",1
"['naik', 'nya', 'jangan', 'naik', 'banyak', 'ngurangin', 'kendara', 'motor', 'bikin', 'doang', 'jalan', 'penuh', 'motor']",1
"['kalau', 'partai', 'banteng', 'percaya', 'pimpin', 'indonesian', 'mantap']",1
"['bner', 'banget', 'tuju']",1
"['bbm', 'tidak', 'harga', 'cat', 'tidak', 'bos']",1
"['coba', 'bangun', 'pertamini', 'milik', 'bumn', 'nya', 'pelosok', 'negeri', 'agar', 'adil', 'sosial', 'capai', 'suruh', 'pertamini', 'jual', 'tamak', 'saja', 'pertalitenya', 'ngilang']",1
"['harga', 'bbm']",1
"['bbm', 'mobil', 'angkut', 'ganti', 'tenaga', 'listrik', 'baterai', 'gerak', 'dinamo', 'motor', 'listrik', 'sepeda', 'motor']",1
"['kalau', 'partai', 'banteng', 'percaya', 'pimpin', 'indonesian', 'mantap']",1
"['moga', 'allah', 'meridhoi', 'putus']",1
"['bantu', 'blt', 'efektif', 'kalau', 'contoh', 'gaji', 'naikkn', 'kalilipat', 'benar', 'karyawan', 'gaji', 'juta', 'naikkn', 'ato', 'agar', 'bantu', 'ekonomi']",1
"['subsidi', 'tidak', 'cabut', 'tapi', 'alih', 'dari', 'subsidi', 'barang', 'subsidi', 'masyarakat', 'dalam', 'bentuk', 'blt']",1
['simak'],1
"['naik', 'ump']",1
"['turun', 'dari', 'atm']",1
"['tidak', 'berat', 'bbm', 'subsidi', 'alih', 'masyarakat', 'koruptor', 'milyar', 'hukum', 'mati']",1
"['beli', 'ngotel', 'ngosan', 'tidak', 'ribet', 'bikin', 'tidak']",1
"['beli', 'kendara', 'nya', 'beli', 'bbm', 'tidak', 'beli', 'bbm', 'jual', 'jalan', 'kaki', 'gratis', 'naik', 'sepeda', 'gratis']",1
"['tinggal', 'bangun', 'negeri', 'gotong', 'royong', 'kalau', 'harta', 'sumbang', 'bangun', 'negeri', 'anda', 'teriak', 'gimana', 'anda', 'hidup', 'zaman', 'perang', 'anda', 'tidak', 'korbanin', 'nyawa', 'harta', 'merdeka', 'indonesia', 'kaya', 'orang', 'kaya', 'gin', 'dulunya', 'demang', 'sama', 'kompeni', 'nggak', 'otak']",1
"['tidak', 'demo', 'lagi']",1
"['sudah', 'ketok', 'palu', 'bbm', 'ikut', 'saja', 'mau', 'pmrintah']",1
"['tidak', 'apa', 'bbm', 'bantu', 'pemerinta']",1
"['dana', 'pindah', 'kota', 'sudah', 'tipis', 'sih', 'ya', 'saja', 'bbm']",1
"['perintah', 'salah', 'bbm', 'hutang', 'negara', 'makin', 'tingkat', 'bbm', 'tuju', 'ya', 'mudah', 'an', 'putus', 'ambil', 'perintah', 'indonesia', 'makin', 'maju']",1
"['protes', 'keluh', 'pilih', 'jokowi']",1
"['tidak', 'masuk', 'akal', 'negara', 'harga', 'negara', 'gerak', 'maju', 'untuk', 'korupsi']",1
"['rakyat', 'ngomong', 'apa', 'mengko', 'ngomong', 'tangkap', 'ya', 'pasrah']",1
"['spbu', 'tidak', 'nikmat', 'subsidi', 'minyak', 'jenis', 'premium', 'pertalite', 'guna', 'subsidi', 'butuh', 'spbu', 'pertamini', 'jangkau', 'spbu', 'desa', 'orang', 'desa', 'beli', 'minyak', 'ranmor', 'warung', 'spbu', 'pertamini', 'desa', 'pertamina', 'jual', 'pertamax', 'tani', 'suruh', 'beli', 'pertamax', 'bijak', 'jabat', 'pertamina', 'pertamina', 'jual', 'pertamax', 'desa']",1
"['saja', 'bohong', 'bbm', 'imingi', 'subsidi', 'lain', 'halu', 'doang', 'ni']",1
['masuk'],1
['senang'],1
"['perintah', 'pajo', 'tai']",1
"['gaji', 'buruh', 'naik', 'agar', 'gaji', 'dpr']",1
"['kabar', 'pajak', 'batubara', 'nikel']",1
"['soroh', 'awak', 'bos', 'golek', 'gawe', 'pangan', 'kangela', 'gakisok', 'bayar', 'pajak', 'tidak', 'ngurus', 'bbm', 'dinaikno', 'sak', 'karebmu', 'nek', 'pancene', 'sulit', 'ngatuer']",1
"['lanjut', 'periode']",1
"['tidak', 'masuk', 'akal', 'negara', 'harga', 'negara', 'gerak', 'maju', 'untuk', 'korupsi']",1
"['dana', 'pindah', 'kota', 'sudah', 'tipis', 'sih', 'ya', 'saja', 'bbm']",1
"['jokowi', 'rakyat', 'derita', 'kalau', 'bbm', 'alih', 'kan', 'dana', 'desa', 'subsidi', 'bbm']",1
"['ibu', 'tri', 'rakyat', 'jelata', 'tidak', 'ngerti', 'jelas', 'ibu', 'tri', 'ngerti', 'kalau', 'harga', 'bbm', 'rakyat', 'mangkin', 'mederita']",1
"['kenang', 'rezim', 'selamat', 'nikmat']",1
"['protes', 'keluh', 'pilih', 'jokowi']",1
"['subsidi', 'diahlihkan', 'rakyat', 'dapat', 'bantu', 'perintah', 'tidak', 'sadar', 'ya', 'kalau', 'bbm', 'harga', 'sembako', 'lain']",1
"['moga', 'harga', 'barang', 'butuh', 'roket']",1
"['bbm', 'sampai', 'harga', 'jangan', 'bikin', 'bingong', 'rakyat', 'kecil', 'aplikasi', 'tidak', 'terus', 'bbm', 'batas', 'kalok', 'baik', 'mudah', 'rakyat', 'cari', 'tidak', 'susahh']",1
"['negara', 'gagal']",1
"['mbiyen', 'sik', 'milih', 'sopo', 'mas']",1
"['subsidi', 'bbm', 'hapus', 'mobil', 'pribadi', 'kategori', 'pakai', 'bbm', 'subsidi', 'senang', 'subsidi', 'bbm', 'hapus', 'salah', 'kalang', 'motor', 'giat', 'hari', 'pakai', 'subsidi', 'bbm', 'hak', 'rampas', 'kalang', 'sembunyi', 'balik', 'rakyat', 'jadi', 'alas', 'salah', 'kalang', 'dukung', 'penuh', 'cabut', 'subsidi', 'bbm', 'mobil', 'pribadi', 'kategori', 'nikmat', 'subsidi', 'bbm']",1
['masuk'],1
"['ribu', 'ltr', 'tidak', 'masalah', 'busway', 'saja', 'tidak', 'repot']",1
"['jadi', 'sudah', 'tidak', 'usah', 'demo', 'biar', 'anjing', 'gonggong', 'bbm', 'tetep']",1
"['bapak', 'jokowi', 'jdi', 'presiden', 'seumor', 'hidup', 'mantap']",1
"['kalau', 'partai', 'banteng', 'percaya', 'pimpin', 'indonesian', 'mantap']",1
"['sudah', 'lagi', 'harga', 'minyak', 'dunia', 'juga', 'kalau', 'tahan', 'terus', 'jebol']",1
"['lanjut', 'periode']",1
"['kalau', 'anda', 'termsk', 'masyarakat', 'aju', 'saja', 'lurah', 'untuk', 'dapat', 'subsidi', 'seperti', 'blt', 'karena', 'skrg', 'subsidi', 'alih', 'dari', 'barang', 'masyarakat']",1
"['bbm', 'mobil', 'angkut', 'ganti', 'tenaga', 'listrik', 'baterai', 'gerak', 'dinamo', 'motor', 'listrik', 'sepeda', 'motor']",1
"['iwan', 'fals', 'mana', 'ya']",1
"['cinta', 'tau', 'kalau', 'dinluar', 'negeri', 'dapat', 'minimum', 'nya', 'bang', 'banding', 'indonesia', 'jdi', 'wajar', 'harga', 'bbm', 'rakyat']",1
"['potong', 'video']",1
"['kecil', 'ribu', 'barang', 'langkah', 'orang', 'papua', 'keluh', 'katain', 'negeri', 'minyak', 'barang', 'baik', 'baik']",1
"['bukti', 'ekonomi', 'roket', 'periode']",1
"['agar', 'barang']",1
"['harap', 'tenang', 'partai', 'cilik']",1
"['sama', 'harga', 'industri', 'atau', 'subsidi', 'hapus', 'ridak', 'cela', 'oknum', 'curi', 'karena', 'skema', 'tarif', 'beda', 'baik', 'celah', 'korupsi']",1
"['bbm', 'tidak', 'bahan', 'bakar', 'tidak', 'mana']",1
"['momen', 'bijak', 'perintah', 'kontroversial', 'informasi', 'informasi', 'disebarluaskan', 'publik', 'media', 'kait', 'fokus', 'nyata', 'terap', 'bijak', 'padahal', 'jelas', 'perintah', 'terap', 'bijak', 'putus', 'bijak', 'terap', 'faktor', 'sebab', 'faktor', 'timbang', 'tunjuk', 'data', 'utama', 'mudah', 'paham', 'masyarakat', 'awam', 'timbang', 'timbang', 'pengaruh', 'putus', 'informasi', 'publikasi', 'sebar', 'fokus', 'terap', 'bijak', 'olah', 'lingkar', 'perintah', 'maslahat', 'masyarakat', 'lingkar', 'harap', 'sampai', 'alas', 'rinci', 'perintah', 'nampaknya', 'sampai', 'sampai', 'alas', 'rinci', 'paham', 'laku', 'bijak', 'bijak', 'kontroversial', 'perintah', 'periode', 'perintah', 'periode', 'periode', 'perintah', 'sampai', 'alas', 'masyarakat', 'benar', 'lengkap', 'lengkap', 'miskomunikasi', 'mis', 'persepsi', 'negative', 'thinking', 'masyarakat', 'diminimalisir', 'mana', 'integritas', 'masyarakat', 'perintah', 'saran', 'perintah', 'indonesia', 'periode', 'periode', 'periode', 'siar', 'broadcasting', 'masif', 'masif', 'alas', 'timbang', 'faktor', 'faktor', 'tentu', 'desak', 'dorong', 'terap', 'bijak', 'kontroversial', 'bijak', 'terap', 'kirim', 'pesan', 'aplikasi', 'duduk', 'streaming', 'youtube', 'rangka', 'pers', 'broadcast', 'brand', 'media', 'sosial', 'akun', 'akun', 'resmi', 'perintah', 'orang', 'indonesia', 'orang', 'negeri', 'perintah', 'perintah', 'indonesia', 'individu', 'individu', 'masyarakat', 'indonesia', 'masyarakat', 'orang', 'orang', 'lingkup', 'perintah', 'sampai', 'jelas', 'terap', 'bijak', 'jadi', 'komitmen', 'transparan', 'perintah', 'masyarakat', 'awam']",1
"['kalau', 'beli', 'rokok', 'beli', 'chip', 'sanggup', 'nyumbang', 'negara', 'ribut']",1
"['coba', 'berfikir', 'positif', 'itung', 'itung', 'nyumbang', 'negara', 'agar', 'negara', 'maju', 'agar', 'anak', 'cucu', 'jaya', 'indonesia', 'jaya']",1
"['harga', 'bbm']",1
"['subsidi', 'tidak', 'cabut', 'tapi', 'alih', 'dari', 'subsidi', 'barang', 'subsidi', 'masyarakat', 'dalam', 'bentuk', 'blt']",1
"['mantap', 'naik', 'saja', 'nya', 'rakyat', 'sudah', 'kaya', 'raya', 'nggak', 'miskin', 'periode', 'agar', 'rakyat', 'senang']",1
"['jual', 'minyak']",1
['senang'],1
"['soroh', 'awak', 'bos', 'golek', 'gawe', 'pangan', 'kangela', 'gakisok', 'bayar', 'pajak', 'tidak', 'ngurus', 'bbm', 'dinaikno', 'sak', 'karebmu', 'nek', 'pancene', 'sulit', 'ngatuer']",1
['cerdas'],1
[],1
"['orang', 'gilo']",0
"['subsidi', 'orang', 'rata', 'data', 'mesti', 'sasar']",0
"['runtuh', 'adil', 'sosial', 'rakyat', 'indonesia', 'solusi', 'cepat', 'atas', 'perintah']",0
['cilik'],0
"['rezim', 'mafia', 'laknat', 'bubar', 'pertamina']",0
"['hidup', 'mewah', 'mewah', 'pikir', 'rakyat', 'miskin', 'hati', 'nurani', 'harta', 'dinkurangin', 'sedikit', 'pilih', 'rakyat', 'miskin', 'tameng', 'mewah', 'mewah', 'turun']",0
